,ga:date,ga:countryIsoCode,ga:users,ga:pageViews,ga:sessions,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20190901,BD,1,1,1,0.0,1.0,100.0
1,20190901,BE,1,1,1,0.0,1.0,100.0
2,20190901,BR,1,2,1,44.0,2.0,0.0
3,20190901,CA,2,3,2,3.0,1.5,50.0
4,20190901,CL,1,3,1,32.0,3.0,0.0
5,20190901,CZ,1,3,2,133.0,1.5,50.0
6,20190901,DE,1,2,1,77.0,2.0,0.0
7,20190901,ES,1,2,1,1.0,2.0,0.0
8,20190901,LK,1,1,1,0.0,1.0,100.0
9,20190901,LT,1,2,1,29.0,2.0,0.0
10,20190901,NL,2,2,2,0.0,1.0,100.0
11,20190901,NZ,1,1,1,0.0,1.0,100.0
12,20190901,SE,1,1,1,0.0,1.0,100.0
13,20190901,SI,1,7,1,761.0,7.0,0.0
14,20190901,US,15,15,15,0.0,1.0,100.0
15,20190902,AU,1,1,1,0.0,1.0,100.0
16,20190902,BE,3,5,4,79.0,1.25,75.0
17,20190902,BR,2,2,2,0.0,1.0,100.0
18,20190902,CH,6,13,6,478.0,2.1666666666666665,50.0
19,20190902,CN,3,5,4,45.0,1.25,75.0
20,20190902,CY,1,5,1,150.0,5.0,0.0
21,20190902,CZ,2,2,2,0.0,1.0,100.0
22,20190902,DE,10,27,13,1745.0,2.076923076923077,69.23076923076923
23,20190902,DZ,1,1,1,0.0,1.0,100.0
24,20190902,ES,4,4,4,0.0,1.0,100.0
25,20190902,ET,1,1,1,0.0,1.0,100.0
26,20190902,FR,3,5,4,8.0,1.25,75.0
27,20190902,GB,9,16,10,121.0,1.6,80.0
28,20190902,IN,4,4,4,0.0,1.0,100.0
29,20190902,IT,1,1,1,0.0,1.0,100.0
30,20190902,LU,1,2,1,3.0,2.0,0.0
31,20190902,LV,1,1,1,0.0,1.0,100.0
32,20190902,NL,3,7,4,180.0,1.75,50.0
33,20190902,NO,3,14,3,1226.0,4.666666666666667,33.33333333333333
34,20190902,RS,1,1,1,0.0,1.0,100.0
35,20190902,SG,1,1,1,0.0,1.0,100.0
