,ga:date,ga:countryIsoCode,ga:city,ga:users,ga:pageViews,ga:sessions,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20170301,AT,Vienna,1,3,2,95.0,1.5,50.0
1,20170301,AU,Brisbane,3,13,5,2688.0,2.6,20.0
2,20170301,AU,Melbourne,1,1,1,0.0,1.0,100.0
3,20170301,BE,Antwerp,1,1,1,0.0,1.0,100.0
4,20170301,BE,Ghent,1,2,1,3.0,2.0,0.0
5,20170301,BE,Uccle,1,1,1,0.0,1.0,100.0
6,20170301,CA,Burnaby,1,10,3,387.0,3.3333333333333335,0.0
7,20170301,CA,Edmonton,1,4,1,1258.0,4.0,0.0
8,20170301,CA,Montreal,2,2,2,0.0,1.0,100.0
9,20170301,CH,Basel,1,5,2,613.0,2.5,0.0
10,20170301,CH,Lugano,1,1,1,0.0,1.0,100.0
11,20170301,CH,Ruschlikon,1,1,1,0.0,1.0,100.0
12,20170301,CU,(not set),1,1,1,0.0,1.0,100.0
13,20170301,CY,Strovolos,1,1,1,0.0,1.0,100.0
14,20170301,CZ,Hlucin,1,2,1,2.0,2.0,0.0
15,20170301,DE,Berlin,1,11,1,661.0,11.0,0.0
16,20170301,DE,Dachau,1,1,1,0.0,1.0,100.0
17,20170301,DE,Ingelheim am Rhein,1,2,2,0.0,1.0,100.0
18,20170301,DE,Mainz,1,6,1,307.0,6.0,0.0
19,20170301,DE,Metzingen,1,1,1,0.0,1.0,100.0
20,20170301,DE,Munich,1,1,1,0.0,1.0,100.0
21,20170301,DK,Albertslund,1,1,1,0.0,1.0,100.0
22,20170301,DK,Lyngby,1,2,1,24.0,2.0,0.0
23,20170301,FI,Tampere,1,2,1,263.0,2.0,0.0
24,20170301,FR,(not set),1,1,1,0.0,1.0,100.0
25,20170301,FR,Arpajon,1,1,1,0.0,1.0,100.0
26,20170301,FR,Orsay,1,1,1,0.0,1.0,100.0
27,20170301,FR,Villejuif,1,1,1,0.0,1.0,100.0
28,20170301,GB,(not set),1,1,1,0.0,1.0,100.0
29,20170301,GB,Birmingham,2,3,2,2.0,1.5,50.0
30,20170301,GB,Exeter,1,3,2,8.0,1.5,50.0
31,20170301,GB,Guildford,1,15,3,1173.0,5.0,0.0
32,20170301,GB,London,1,2,1,84.0,2.0,0.0
33,20170301,GB,Runcorn,1,1,1,0.0,1.0,100.0
34,20170301,IE,(not set),1,1,1,0.0,1.0,100.0
35,20170301,IL,Tel Aviv-Yafo,1,6,1,438.0,6.0,0.0
36,20170301,IN,Bengaluru,2,2,2,0.0,1.0,100.0
37,20170301,IT,Bologna,1,16,1,3723.0,16.0,0.0
38,20170301,IT,Venice,1,2,1,119.0,2.0,0.0
39,20170301,KR,Gwangju,2,17,4,2554.0,4.25,25.0
40,20170301,LU,Sanem,1,1,1,0.0,1.0,100.0
41,20170301,NL,Amsterdam,1,5,4,36.0,1.25,75.0
42,20170301,NL,Best,1,1,1,0.0,1.0,100.0
43,20170301,NL,Schiedam,1,1,1,0.0,1.0,100.0
44,20170301,NL,Wageningen,1,2,2,0.0,1.0,100.0
45,20170301,NO,Sola,1,1,1,0.0,1.0,100.0
46,20170301,NO,Tromso Municipality,1,1,1,0.0,1.0,100.0
47,20170301,PL,Wroclaw,1,4,1,115.0,4.0,0.0
48,20170301,RU,Moscow,1,1,1,0.0,1.0,100.0
49,20170301,RU,Saint Petersburg,1,1,1,0.0,1.0,100.0
50,20170301,SA,Dammam,1,4,3,1682.0,1.3333333333333333,66.66666666666666
51,20170301,SE,Gothenburg,3,4,3,18.0,1.3333333333333333,66.66666666666666
52,20170301,SE,Molndal,1,5,2,100.0,2.5,50.0
53,20170301,SE,Umea,2,7,2,150.0,3.5,0.0
54,20170301,SG,Singapore,2,2,2,0.0,1.0,100.0
55,20170301,SI,Ptuj,1,1,1,0.0,1.0,100.0
56,20170301,TW,Zhongli District,1,1,1,0.0,1.0,100.0
57,20170301,UA,Odesa,1,1,1,0.0,1.0,100.0
58,20170301,US,(not set),1,1,1,0.0,1.0,100.0
59,20170301,US,Ames,1,22,4,4272.0,5.5,25.0
60,20170301,US,Austin,1,1,1,0.0,1.0,100.0
61,20170301,US,Bainbridge,1,2,2,0.0,1.0,100.0
62,20170301,US,Blacksburg,2,14,4,3013.0,3.5,25.0
63,20170301,US,Boxborough,1,1,1,0.0,1.0,100.0
64,20170301,US,Cincinnati,1,37,6,1828.0,6.166666666666667,16.666666666666664
65,20170301,US,Clemson,1,1,1,0.0,1.0,100.0
66,20170301,US,College Station,1,1,1,0.0,1.0,100.0
67,20170301,US,Creve Coeur,1,1,1,0.0,1.0,100.0
68,20170301,US,Dallas,1,16,1,2553.0,16.0,0.0
69,20170301,US,East Lake,1,1,1,0.0,1.0,100.0
70,20170301,US,East Lansing,1,2,1,2.0,2.0,0.0
71,20170301,US,Groton,1,7,2,128.0,3.5,0.0
72,20170301,US,Hillsboro,1,1,1,0.0,1.0,100.0
73,20170301,US,Houston,1,1,1,0.0,1.0,100.0
74,20170301,US,Mexia,1,1,1,0.0,1.0,100.0
75,20170301,US,Minneapolis,1,4,1,1454.0,4.0,0.0
76,20170301,US,New York,1,3,1,26.0,3.0,0.0
77,20170301,US,San Jose,2,2,2,0.0,1.0,100.0
78,20170302,AT,Vienna,1,4,1,505.0,4.0,0.0
79,20170302,AU,Brisbane,1,11,3,1689.0,3.6666666666666665,0.0
80,20170302,AU,Melbourne,2,4,2,403.0,2.0,0.0
81,20170302,BE,Antwerp,2,2,2,0.0,1.0,100.0
82,20170302,BE,Brussels,1,1,1,0.0,1.0,100.0
83,20170302,BE,Ghent,1,5,2,186.0,2.5,0.0
84,20170302,BE,Leuven,1,1,1,0.0,1.0,100.0
85,20170302,BE,Liege,1,12,3,897.0,4.0,0.0
