,ga:date,ga:pagePath,ga:users,ga:pageViews,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20181001,/en/latest/,15,20,5060.0,1.25,43.75
1,20181001,/en/latest/api/easybuild.framework.easyblock.html,3,3,0.0,1.0,100.0
2,20181001,/en/latest/api/easybuild.toolchains.goolf.html,1,1,0.0,1.0,100.0
3,20181001,/en/latest/Changelog.html,1,1,0.0,0.0,0.0
4,20181001,/en/latest/Common-toolchains.html,9,9,1035.0,1.2857142857142858,85.71428571428571
5,20181001,/en/latest/Concepts_and_Terminology.html,1,2,0.0,0.0,0.0
6,20181001,/en/latest/Configuration.html,5,5,1321.0,1.0,60.0
7,20181001,/en/latest/Containers.html,5,7,435.0,1.1666666666666667,66.66666666666666
8,20181001,/en/latest/Controlling_compiler_optimization_flags.html,4,4,1224.0,1.0,75.0
9,20181001,/en/latest/Cray-support.html,1,1,0.0,1.0,100.0
10,20181001,/en/latest/Cray-support.html?highlight=piz daint,1,1,0.0,0.0,0.0
11,20181001,/en/latest/demos/bootstrapping.html,2,2,0.0,0.0,0.0
12,20181001,/en/latest/Detecting_loaded_modules.html,2,2,4.0,1.0,50.0
13,20181001,/en/latest/eb_list_easyblocks.html,1,1,0.0,0.0,0.0
14,20181001,/en/latest/eb_list_toolchains.html,5,5,154.0,1.25,50.0
15,20181001,/en/latest/Extended_dry_run.html,1,1,0.0,1.0,100.0
16,20181001,/en/latest/Implementing-easyblocks.html,4,4,0.0,1.0,100.0
17,20181001,/en/latest/Including_additional_Python_modules.html,2,2,0.0,2.0,100.0
18,20181001,/en/latest/index.html,4,5,0.0,0.0,0.0
19,20181001,/en/latest/Installation_Alternative.html,9,11,100.0,2.2,60.0
20,20181001,/en/latest/Installation.html,9,16,495.0,2.6666666666666665,50.0
21,20181001,/en/latest/Installing-environment-modules-without-root-permissions.html,2,2,0.0,2.0,100.0
22,20181001,/en/latest/Installing-Lmod-without-root-permissions.html,1,2,1108.0,2.0,0.0
