,ga:date,ga:source,ga:users,ga:pageViews,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20190801,(direct),12,26,2627.0,1.7333333333333334,53.333333333333336
1,20190801,baidu.com,2,2,0.0,1.0,100.0
2,20190801,cluster-in-the-cloud.readthedocs.io,1,2,129.0,2.0,0.0
3,20190801,github.com,2,3,5.0,1.5,50.0
4,20190801,google,84,204,19002.0,2.1030927835051547,63.91752577319587
5,20190801,sphinx-doc.org,1,1,0.0,1.0,100.0
6,20190802,(direct),8,15,512.0,1.875,62.5
7,20190802,acwiki.ccs.miami.edu,1,1,0.0,1.0,100.0
8,20190802,baidu,1,6,1896.0,3.0,0.0
9,20190802,cluster-in-the-cloud.readthedocs.io,1,4,56.0,4.0,0.0
10,20190802,duckduckgo,1,2,3.0,2.0,0.0
11,20190802,easybuilders.github.io,1,1,0.0,1.0,100.0
12,20190802,github.com,1,6,1953.0,6.0,0.0
13,20190802,google,68,131,11228.0,1.7236842105263157,75.0
14,20190802,pypi.org,1,2,11.0,2.0,0.0
15,20190802,sphinx-doc.org,3,6,11.0,2.0,66.66666666666666
16,20190802,wiki.fysik.dtu.dk,1,1,0.0,1.0,100.0
17,20190803,(direct),3,8,227.0,2.6666666666666665,33.33333333333333
18,20190803,baidu,1,1,0.0,1.0,100.0
19,20190803,github.com,1,3,8.0,1.5,50.0
20,20190803,google,13,22,657.0,1.6923076923076923,69.23076923076923
21,20190803,sphinx-doc.org,1,1,0.0,1.0,100.0
22,20190804,(direct),5,5,0.0,1.0,100.0
23,20190804,google,20,55,4637.0,2.5,72.72727272727273
24,20190804,sphinx-doc.org,1,1,0.0,1.0,100.0
25,20190805,(direct),21,33,1413.0,1.434782608695652,82.6086956521739
26,20190805,google,63,112,7542.0,1.5555555555555556,75.0
27,20190805,sphinx-doc.org,1,2,6.0,2.0,0.0
28,20190805,wiki-hpc,1,1,0.0,1.0,100.0
29,20190806,(direct),5,5,0.0,1.0,100.0
30,20190806,baidu,1,1,0.0,1.0,100.0
31,20190806,baidu.com,2,2,0.0,1.0,100.0
32,20190806,duckduckgo,1,1,0.0,1.0,100.0
33,20190806,easybuilders.github.io,4,27,2254.0,4.5,33.33333333333333
34,20190806,email.crg.es,1,1,0.0,1.0,100.0
35,20190806,github.com,1,9,1680.0,2.25,25.0
36,20190806,google,90,168,8941.0,1.6470588235294117,67.64705882352942
37,20190806,inversionlabs.com,1,1,0.0,1.0,100.0
38,20190806,sphinx-doc.org,2,2,0.0,1.0,100.0
39,20190806,t.co,1,1,0.0,1.0,100.0
40,20190807,(direct),8,20,690.0,2.2222222222222223,66.66666666666666
41,20190807,ask,1,1,0.0,1.0,100.0
42,20190807,baidu.com,5,5,0.0,1.0,100.0
43,20190807,cknowledge.org,1,1,0.0,1.0,100.0
44,20190807,easybuilders.github.io,2,5,116.0,1.25,75.0
45,20190807,github.com,3,6,11.0,1.5,50.0
46,20190807,google,79,165,14280.0,1.6666666666666667,72.72727272727273
