,ga:date,ga:countryIsoCode,ga:users,ga:pageViews,ga:sessions,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20190201,AT,3,5,4,156.0,1.25,75.0
1,20190201,AU,1,1,1,0.0,1.0,100.0
2,20190201,BE,4,6,4,405.0,1.5,75.0
3,20190201,BR,2,2,2,0.0,1.0,100.0
4,20190201,CA,1,1,1,0.0,1.0,100.0
5,20190201,CI,1,1,1,0.0,1.0,100.0
6,20190201,DZ,1,1,1,0.0,1.0,100.0
7,20190201,ES,3,3,3,0.0,1.0,100.0
8,20190201,FI,1,1,1,0.0,1.0,100.0
9,20190201,FR,5,8,5,1615.0,1.6,40.0
10,20190201,GB,1,1,1,0.0,1.0,100.0
11,20190201,HU,2,2,2,0.0,1.0,100.0
12,20190201,IN,3,5,3,682.0,1.6666666666666667,33.33333333333333
13,20190201,IT,2,3,3,0.0,1.0,100.0
14,20190201,LU,1,2,2,0.0,1.0,100.0
15,20190201,NL,1,1,1,0.0,1.0,100.0
16,20190201,RU,1,1,1,0.0,1.0,100.0
17,20190201,US,31,40,34,1151.0,1.1764705882352942,85.29411764705883
18,20190201,ZA,1,1,1,0.0,1.0,100.0
19,20190202,AU,1,1,1,0.0,1.0,100.0
20,20190202,CL,1,1,1,0.0,1.0,100.0
21,20190202,CN,1,1,1,0.0,1.0,100.0
22,20190202,CO,1,1,1,0.0,1.0,100.0
23,20190202,DE,2,4,4,0.0,1.0,100.0
24,20190202,DK,1,1,1,0.0,1.0,100.0
25,20190202,ES,1,1,1,0.0,1.0,100.0
26,20190202,FI,1,1,1,0.0,1.0,100.0
27,20190202,FR,4,4,4,0.0,1.0,100.0
28,20190202,GB,1,3,2,15.0,1.5,50.0
29,20190202,ID,1,1,1,0.0,1.0,100.0
30,20190202,IL,2,2,2,0.0,1.0,100.0
31,20190202,IR,2,3,2,1338.0,1.5,50.0
32,20190202,IT,1,1,1,0.0,1.0,100.0
33,20190202,KR,1,1,1,0.0,1.0,100.0
34,20190202,LT,1,1,1,0.0,1.0,100.0
35,20190202,MX,1,1,1,0.0,1.0,100.0
36,20190202,TR,2,2,2,0.0,1.0,100.0
37,20190202,TT,1,1,1,0.0,1.0,100.0
38,20190202,US,10,13,11,276.0,1.1818181818181819,81.81818181818183
39,20190203,AT,1,3,1,564.0,3.0,0.0
40,20190203,AU,1,1,1,0.0,1.0,100.0
41,20190203,BE,2,2,2,0.0,1.0,100.0
42,20190203,BG,1,1,1,0.0,1.0,100.0
43,20190203,CH,1,1,1,0.0,1.0,100.0
44,20190203,CN,1,1,1,0.0,1.0,100.0
45,20190203,DE,3,3,3,0.0,1.0,100.0
46,20190203,ES,1,1,1,0.0,1.0,100.0
47,20190203,GB,2,2,2,0.0,1.0,100.0
48,20190203,ID,1,1,1,0.0,1.0,100.0
49,20190203,IL,2,2,2,0.0,1.0,100.0
50,20190203,IN,1,1,1,0.0,1.0,100.0
51,20190203,IR,1,1,1,0.0,1.0,100.0
52,20190203,IT,1,1,1,0.0,1.0,100.0
53,20190203,JP,1,1,1,0.0,1.0,100.0
54,20190203,MK,1,1,1,0.0,1.0,100.0
55,20190203,SA,1,1,1,0.0,1.0,100.0
56,20190203,UA,1,1,1,0.0,1.0,100.0
57,20190203,US,6,6,6,0.0,1.0,100.0
58,20190203,ZZ,2,2,2,0.0,1.0,100.0
59,20190204,AT,1,2,2,0.0,1.0,100.0
60,20190204,BR,3,3,3,0.0,1.0,100.0
61,20190204,CA,2,2,2,0.0,1.0,100.0
62,20190204,CH,2,2,2,0.0,1.0,100.0
63,20190204,DE,2,2,2,0.0,1.0,100.0
