,ga:date,ga:pagePath,ga:users,ga:pageViews,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20230201,/,141,160,5851.0,1.095890410958904,84.24657534246576
1,20230201,/about/,10,14,0.0,14.0,100.0
2,20230201,/changes-spack-v017/,1,1,416.0,1.0,0.0
3,20230201,/page2/,2,2,0.0,0.0,0.0
4,20230201,/spack-binary-packages/,6,6,63.0,3.0,50.0
5,20230201,/spack-on-microsoft-azure-vms/,1,1,0.0,0.0,0.0
6,20230201,/spack-user-survey-2020/,1,1,0.0,0.0,0.0
7,20230201,/status/,5,7,0.0,0.0,0.0
8,20230202,/,134,173,8592.0,1.1768707482993197,77.55102040816327
9,20230202,/about/,12,12,0.0,3.0,100.0
10,20230202,/blog/,1,1,0.0,0.0,0.0
11,20230202,/cppcast-podcast/,1,1,0.0,1.0,100.0
12,20230202,/page2/,7,7,0.0,0.0,0.0
13,20230202,/page3/,3,3,0.0,0.0,0.0
14,20230202,/spack-binary-packages/,5,5,0.0,2.5,100.0
15,20230202,/status/,3,3,0.0,0.0,0.0
16,20230203,/,106,131,7304.0,1.1801801801801801,71.17117117117117
17,20230203,/about/,13,16,0.0,5.333333333333333,100.0
18,20230203,/blog/,2,2,0.0,0.0,0.0
19,20230203,/bssw-working-remotely/,2,2,0.0,0.0,0.0
20,20230203,/changes-spack-v017/,4,4,0.0,4.0,100.0
21,20230203,/cppcast-podcast/,2,3,0.0,0.0,0.0
22,20230203,/ecp-videos/,1,1,0.0,0.0,0.0
23,20230203,/page2/,2,2,0.0,0.0,0.0
24,20230203,/page3/,1,1,0.0,0.0,0.0
25,20230203,/spack-at-sc20/,2,3,0.0,0.0,0.0
26,20230203,/spack-binary-packages/,6,7,0.0,7.0,100.0
27,20230203,/spack-rd-100-award-featured-llnl-magazine/,1,1,0.0,0.0,0.0
28,20230203,/spack-user-survey-2020/,1,1,0.0,1.0,100.0
29,20230203,/status/,3,3,0.0,0.0,0.0
30,20230204,/,51,61,1057.0,1.1296296296296295,74.07407407407408
31,20230204,/about/,7,8,0.0,8.0,100.0
32,20230204,/blog/,3,3,0.0,0.0,0.0
33,20230204,/page2/,2,2,0.0,0.0,0.0
34,20230204,/spack-binary-packages/,2,2,0.0,0.0,0.0
35,20230204,/spack-featured-next-platform/,1,1,0.0,0.0,0.0
36,20230204,/status/,2,2,0.0,0.0,0.0
37,20230205,/,67,70,901.0,1.0606060606060606,87.87878787878788
38,20230205,/about/,9,13,15.0,3.25,75.0
39,20230205,/blog/,2,2,105.0,2.0,0.0
40,20230205,/changes-spack-v017/,3,4,14.0,1.3333333333333333,66.66666666666666
41,20230205,/spack-aws-cluster/,1,1,220.0,1.0,0.0
42,20230205,/spack-binary-packages/,4,4,0.0,0.0,0.0
43,20230205,/status/,2,2,1.0,2.0,0.0
44,20230206,/,120,164,10980.0,1.1798561151079137,77.6978417266187
45,20230206,/about/,14,19,0.0,6.333333333333333,100.0
46,20230206,/blog/,1,1,0.0,0.0,0.0
47,20230206,/page2/,3,3,0.0,0.0,0.0
48,20230206,/page3/,1,1,0.0,0.0,0.0
49,20230206,/spack-at-sc19/,1,1,0.0,0.0,0.0
50,20230206,/spack-binary-packages/,5,6,1620.0,2.0,66.66666666666666
51,20230206,/spack-has-a-new-website/,1,1,0.0,0.0,0.0
52,20230206,/status/,4,5,0.0,0.0,0.0
53,20230207,/,133,167,6447.0,1.1517241379310346,78.62068965517241
54,20230207,/about/,16,17,20.0,5.666666666666667,66.66666666666666
55,20230207,/blog/,2,2,0.0,0.0,0.0
56,20230207,/changes-spack-v017/,3,3,0.0,1.5,100.0
57,20230207,/cppcast-podcast/,1,1,0.0,0.0,0.0
58,20230207,/ecp-videos/,1,1,8.0,1.0,0.0
59,20230207,/page2/,1,1,0.0,0.0,0.0
60,20230207,/page3/,1,1,0.0,0.0,0.0
61,20230207,/spack-binary-packages/,7,8,10.0,4.0,50.0
62,20230207,/status/,2,2,0.0,0.0,0.0
63,20230208,/,139,158,5777.0,1.1126760563380282,82.3943661971831
64,20230208,/about/,16,19,1606.0,4.75,75.0
65,20230208,/ecp-podcast-episode-67/,1,1,0.0,0.0,0.0
66,20230208,/page2/,2,2,0.0,0.0,0.0
67,20230208,/spack-binary-packages/,7,7,0.0,2.3333333333333335,100.0
68,20230208,/spack-featured-next-platform/,1,1,0.0,0.0,0.0
69,20230208,/spack-on-microsoft-azure-vms/,1,1,0.0,0.0,0.0
70,20230208,/spack-user-survey-2020/,1,1,0.0,0.0,0.0
71,20230208,/status/,3,3,0.0,0.0,0.0
72,20230209,/,116,141,5866.0,1.1557377049180328,78.68852459016394
73,20230209,/about/,10,12,0.0,12.0,100.0
74,20230209,/blog/,3,3,0.0,0.0,0.0
75,20230209,/page3/,1,1,0.0,0.0,0.0
76,20230209,/spack-binary-packages/,10,10,0.0,3.3333333333333335,100.0
77,20230209,/spack-user-survey-2020/,1,1,0.0,0.0,0.0
78,20230209,/status/,3,3,0.0,0.0,0.0
79,20230210,/,109,129,5870.0,1.1517857142857142,76.78571428571429
80,20230210,/about/,16,19,0.0,9.5,100.0
81,20230210,/blog/,3,3,0.0,3.0,100.0
82,20230210,/page2/,5,5,0.0,0.0,0.0
83,20230210,/spack-binary-packages/,5,6,0.0,2.0,100.0
84,20230210,/spack-featured-next-platform/,1,1,0.0,0.0,0.0
85,20230210,/spack-user-survey-2020/,1,1,0.0,1.0,100.0
86,20230210,/status/,1,1,0.0,0.0,0.0
87,20230211,/,40,50,1508.0,1.1627906976744187,79.06976744186046
88,20230211,/about/,4,5,223.0,5.0,0.0
89,20230211,/page2/,1,1,0.0,0.0,0.0
90,20230211,/spack-binary-packages/,3,4,1123.0,2.0,50.0
