,ga:date,ga:countryIsoCode,ga:users,ga:pageViews,ga:sessions,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20201001,AT,1,15,4,2669.0,3.75,25.0
1,20201001,AU,5,6,5,11.0,1.2,80.0
2,20201001,BR,2,2,2,0.0,1.0,100.0
3,20201001,BY,1,1,1,0.0,1.0,100.0
4,20201001,CH,2,9,2,81.0,4.5,50.0
5,20201001,CL,1,1,1,0.0,1.0,100.0
6,20201001,CO,1,1,1,0.0,1.0,100.0
7,20201001,CZ,1,1,1,0.0,1.0,100.0
8,20201001,DE,19,53,24,1987.0,2.2083333333333335,45.83333333333333
9,20201001,EC,1,1,1,0.0,1.0,100.0
10,20201001,ES,4,4,4,0.0,1.0,100.0
11,20201001,FR,6,12,6,31.0,2.0,83.33333333333334
12,20201001,GB,16,58,30,7374.0,1.9333333333333333,70.0
13,20201001,IN,11,29,15,6742.0,1.9333333333333333,66.66666666666666
14,20201001,IR,1,1,1,0.0,1.0,100.0
15,20201001,IT,3,4,4,0.0,1.0,100.0
16,20201001,JP,4,24,9,263.0,2.6666666666666665,22.22222222222222
17,20201001,KR,1,1,1,0.0,1.0,100.0
18,20201001,LU,1,2,1,275.0,2.0,0.0
19,20201001,MA,2,2,2,0.0,1.0,100.0
20,20201001,MX,2,3,2,10.0,1.5,50.0
21,20201001,NG,1,1,1,0.0,1.0,100.0
22,20201001,NO,1,2,1,121.0,2.0,0.0
23,20201001,PE,1,1,1,0.0,1.0,100.0
24,20201001,PK,1,2,1,1038.0,2.0,0.0
25,20201001,PL,2,6,4,1522.0,1.5,75.0
26,20201001,PT,1,1,1,0.0,1.0,100.0
27,20201001,RS,1,1,1,0.0,1.0,100.0
28,20201001,RU,2,2,2,0.0,1.0,100.0
29,20201001,SE,3,5,4,65.0,1.25,75.0
30,20201001,SG,2,8,2,90.0,4.0,50.0
31,20201001,SV,1,1,1,0.0,1.0,100.0
32,20201001,TG,1,4,3,1765.0,1.3333333333333333,66.66666666666666
33,20201001,US,103,330,133,38098.0,2.481203007518797,53.383458646616546
34,20201001,ZZ,2,2,2,0.0,1.0,100.0
35,20201002,AE,1,6,1,243.0,6.0,0.0
36,20201002,AT,3,47,5,8301.0,9.4,0.0
37,20201002,AU,2,8,2,331.0,4.0,50.0
38,20201002,BA,1,1,1,0.0,1.0,100.0
39,20201002,BD,2,4,2,44.0,2.0,0.0
40,20201002,BE,1,1,1,0.0,1.0,100.0
41,20201002,BG,1,3,1,741.0,3.0,0.0
42,20201002,BT,1,1,1,0.0,1.0,100.0
43,20201002,CA,3,7,3,119.0,2.3333333333333335,66.66666666666666
44,20201002,CH,3,3,3,0.0,1.0,100.0
45,20201002,CL,1,10,4,1003.0,2.5,50.0
46,20201002,CN,6,9,7,862.0,1.2857142857142858,85.71428571428571
47,20201002,CZ,1,2,2,0.0,1.0,100.0
48,20201002,DE,18,63,23,11987.0,2.739130434782609,52.17391304347826
49,20201002,DK,2,10,3,2007.0,3.3333333333333335,33.33333333333333
50,20201002,EC,1,1,1,0.0,1.0,100.0
51,20201002,ES,3,7,4,491.0,1.75,50.0
52,20201002,FR,9,16,9,785.0,1.7777777777777777,66.66666666666666
53,20201002,GB,9,29,11,1321.0,2.6363636363636362,54.54545454545454
54,20201002,HK,1,1,1,0.0,1.0,100.0
55,20201002,HU,1,1,1,0.0,1.0,100.0
56,20201002,ID,1,1,1,0.0,1.0,100.0
57,20201002,IL,2,3,3,0.0,1.0,100.0
58,20201002,IN,10,26,13,3767.0,2.0,69.23076923076923
59,20201002,IT,3,8,3,436.0,2.6666666666666665,33.33333333333333
60,20201002,JP,6,17,9,464.0,1.8888888888888888,66.66666666666666
61,20201002,MA,1,1,1,0.0,1.0,100.0
62,20201002,MX,2,4,2,22.0,2.0,0.0
63,20201002,MY,1,1,1,0.0,1.0,100.0
64,20201002,NL,1,3,1,30.0,3.0,0.0
65,20201002,NO,1,2,2,0.0,1.0,100.0
66,20201002,PE,2,2,2,0.0,1.0,100.0
67,20201002,PK,1,1,1,0.0,1.0,100.0
68,20201002,PL,1,1,1,0.0,1.0,100.0
69,20201002,SA,2,2,2,0.0,1.0,100.0
70,20201002,TG,1,3,1,329.0,3.0,0.0
71,20201002,UG,1,1,1,0.0,1.0,100.0
72,20201002,US,77,242,107,25683.0,2.2616822429906542,47.66355140186916
73,20201002,ZA,1,1,1,0.0,1.0,100.0
74,20201003,AU,2,6,2,1940.0,3.0,50.0
75,20201003,CN,3,5,3,302.0,1.6666666666666667,66.66666666666666
76,20201003,DE,5,11,6,1383.0,1.8333333333333333,66.66666666666666
77,20201003,DZ,1,1,1,0.0,1.0,100.0
78,20201003,ET,1,1,1,0.0,1.0,100.0
79,20201003,GB,5,17,6,4464.0,2.8333333333333335,16.666666666666664
80,20201003,IL,1,7,2,3719.0,3.5,50.0
81,20201003,IN,10,16,14,234.0,1.1428571428571428,85.71428571428571
82,20201003,IT,5,8,5,936.0,1.6,60.0
83,20201003,JP,2,3,3,0.0,1.0,100.0
84,20201003,MA,1,1,1,0.0,1.0,100.0
85,20201003,MX,1,7,1,2836.0,7.0,0.0
86,20201003,RU,1,1,1,0.0,1.0,100.0
87,20201003,SE,1,2,1,379.0,2.0,0.0
88,20201003,TR,1,2,1,29.0,2.0,0.0
89,20201003,US,15,33,16,3267.0,2.0625,56.25
