,ga:date,ga:countryIsoCode,ga:city,ga:users,ga:pageViews,ga:sessions,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20221101,AE,(not set),1,3,1,1379.0,3.0,0.0
1,20221101,AT,Vienna,1,2,1,30.0,2.0,0.0
2,20221101,AT,Voitsberg,2,3,2,5.0,1.5,50.0
3,20221101,AU,Brisbane,2,6,2,1749.0,3.0,50.0
4,20221101,AU,Cairns,1,3,1,767.0,3.0,0.0
5,20221101,AU,Perth,1,1,1,0.0,1.0,100.0
6,20221101,AU,Sydney,2,7,4,1802.0,1.75,50.0
7,20221101,BJ,(not set),1,3,1,7.0,3.0,0.0
8,20221101,BR,Sao Paulo,3,7,5,1254.0,1.4,60.0
9,20221101,BY,Hrodna,1,2,1,30.0,2.0,0.0
10,20221101,CA,(not set),3,5,4,0.0,1.25,75.0
11,20221101,CA,Montreal,1,1,1,0.0,1.0,100.0
12,20221101,CA,Quebec City,1,1,1,0.0,1.0,100.0
13,20221101,CH,(not set),1,2,1,12.0,2.0,0.0
14,20221101,CH,Basel,1,1,1,0.0,1.0,100.0
15,20221101,CH,Renens,1,2,1,8.0,2.0,0.0
16,20221101,CH,Wadenswil,1,2,1,897.0,2.0,0.0
17,20221101,CH,Zurich,2,4,2,1266.0,2.0,50.0
18,20221101,CN,(not set),11,52,17,9913.0,3.0588235294117645,29.411764705882355
19,20221101,CO,Medellin,1,1,1,0.0,1.0,100.0
20,20221101,DE,(not set),2,2,2,0.0,1.0,100.0
21,20221101,DE,Aschheim,1,1,1,0.0,1.0,100.0
22,20221101,DE,Braunschweig,1,4,1,1821.0,4.0,0.0
23,20221101,DE,Bremerhaven,1,59,4,13119.0,14.75,0.0
24,20221101,DE,Darmstadt,1,1,1,0.0,1.0,100.0
25,20221101,DE,Dusseldorf,1,1,1,0.0,1.0,100.0
26,20221101,DE,Erlangen,1,1,1,0.0,1.0,100.0
27,20221101,DE,Hamburg,2,5,2,345.0,2.5,50.0
28,20221101,DE,Itzehoe,1,1,1,0.0,1.0,100.0
29,20221101,DE,Karlsruhe,1,8,1,270.0,8.0,0.0
30,20221101,DE,Offenbach,1,1,1,0.0,1.0,100.0
31,20221101,DE,Paderborn,1,1,1,0.0,1.0,100.0
32,20221101,EG,(not set),1,8,5,546.0,1.6,60.0
33,20221101,EG,Cairo,1,1,1,0.0,1.0,100.0
34,20221101,ES,(not set),1,4,1,34.0,4.0,0.0
