,ga:date,ga:countryIsoCode,ga:city,ga:users,ga:pageViews,ga:sessions,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20210301,AU,Adelaide,1,5,1,141.0,5.0,0.0
1,20210301,BR,Joinville,1,4,1,781.0,4.0,0.0
2,20210301,BR,Pelotas,1,6,2,99.0,3.0,0.0
3,20210301,CA,Ottawa,1,1,1,0.0,1.0,100.0
4,20210301,CA,Vancouver,1,4,1,641.0,4.0,0.0
5,20210301,CH,Lausanne,1,6,1,176.0,6.0,0.0
6,20210301,CN,(not set),1,1,1,0.0,1.0,100.0
7,20210301,CN,Beijing,1,7,1,937.0,7.0,0.0
8,20210301,CN,Dongguan,1,2,1,5.0,2.0,0.0
9,20210301,CN,Guangzhou,1,3,2,272.0,1.5,50.0
10,20210301,CN,Hangzhou,2,4,2,85.0,2.0,50.0
11,20210301,CN,Shanghai,3,4,3,11.0,1.3333333333333333,66.66666666666666
12,20210301,CN,Xiamen,1,4,2,854.0,2.0,50.0
13,20210301,DE,Hamburg,1,2,1,5.0,2.0,0.0
14,20210301,DE,Kaiserslautern,1,9,1,1190.0,9.0,0.0
15,20210301,DE,Munich,4,14,7,2038.0,2.0,28.57142857142857
16,20210301,ES,Madrid,1,2,1,916.0,2.0,0.0
17,20210301,FR,(not set),1,3,1,227.0,3.0,0.0
18,20210301,FR,Le Havre,1,1,1,0.0,1.0,100.0
19,20210301,GB,Didcot,1,2,1,383.0,2.0,0.0
20,20210301,GB,London,1,1,1,0.0,1.0,100.0
21,20210301,HK,(not set),2,16,6,1355.0,2.6666666666666665,50.0
22,20210301,HR,Zagreb,1,1,1,0.0,1.0,100.0
23,20210301,IN,Chennai,1,4,1,103.0,4.0,0.0
24,20210301,IN,Patna,1,1,1,0.0,1.0,100.0
25,20210301,JP,Chuo City,1,8,3,1301.0,2.6666666666666665,33.33333333333333
26,20210301,JP,Sendai,1,3,2,7.0,1.5,50.0
27,20210301,JP,Setagaya City,1,1,1,0.0,1.0,100.0
28,20210301,MX,Mexico City,1,1,1,0.0,1.0,100.0
29,20210301,NL,Amsterdam,1,1,1,0.0,1.0,100.0
30,20210301,PL,Warsaw,1,1,1,0.0,1.0,100.0
31,20210301,RU,Tomsk,1,1,1,0.0,1.0,100.0
32,20210301,SA,960-1636,1,2,1,31.0,2.0,0.0
33,20210301,US,(not set),2,12,4,1786.0,3.0,50.0
34,20210301,US,Albuquerque,1,1,1,0.0,1.0,100.0
35,20210301,US,Atlanta,1,2,1,17.0,2.0,0.0
36,20210301,US,Austin,1,1,1,0.0,1.0,100.0
37,20210301,US,Bethesda,2,2,2,0.0,1.0,100.0
38,20210301,US,Boardman,1,1,1,0.0,1.0,100.0
39,20210301,US,Chandler,1,1,1,0.0,1.0,100.0
40,20210301,US,Charlotte,1,2,2,0.0,1.0,100.0
41,20210301,US,College Station,1,8,1,254.0,8.0,0.0
42,20210301,US,Leacock-Leola-Bareville,1,1,1,0.0,1.0,100.0
43,20210301,US,Livermore,3,22,5,2676.0,4.4,40.0
44,20210301,US,Los Alamos,2,11,5,1176.0,2.2,40.0
45,20210301,US,Los Angeles,1,2,1,14.0,2.0,0.0
46,20210301,US,Missoula,1,2,2,0.0,1.0,100.0
47,20210301,US,Moscow,1,1,1,0.0,1.0,100.0
48,20210301,US,Newark,1,1,1,0.0,1.0,100.0
49,20210301,US,Oakland,2,9,3,97.0,3.0,0.0
50,20210301,US,Orlando,1,1,1,0.0,1.0,100.0
51,20210301,US,Oviedo,1,3,2,528.0,1.5,50.0
52,20210301,US,Philadelphia,1,2,1,259.0,2.0,0.0
53,20210301,US,Topanga,1,1,1,0.0,1.0,100.0
54,20210301,ZZ,(not set),1,1,1,0.0,1.0,100.0
55,20210302,AU,Brisbane,1,1,1,0.0,1.0,100.0
56,20210302,AU,Perth,1,2,1,16.0,2.0,0.0
57,20210302,BR,Florianopolis,1,1,1,0.0,1.0,100.0
58,20210302,CH,Lausanne,1,1,1,0.0,1.0,100.0
59,20210302,CN,(not set),2,7,4,162.0,1.75,25.0
60,20210302,CN,Beijing,1,1,1,0.0,1.0,100.0
61,20210302,CN,Guangzhou,1,1,1,0.0,1.0,100.0
62,20210302,CN,Nanning,1,1,1,0.0,1.0,100.0
63,20210302,CN,Shanghai,2,2,2,0.0,1.0,100.0
64,20210302,CN,Xiamen,1,1,1,0.0,1.0,100.0
65,20210302,DE,Frankfurt,1,3,2,14.0,1.5,50.0
66,20210302,DE,Kaiserslautern,2,8,3,165.0,2.6666666666666665,33.33333333333333
67,20210302,DE,Munich,1,1,1,0.0,1.0,100.0
68,20210302,ES,Barcelona,1,1,1,0.0,1.0,100.0
69,20210302,ES,Santiago de Compostela,1,1,1,0.0,1.0,100.0
70,20210302,FR,La Brede,1,8,3,93.0,2.6666666666666665,33.33333333333333
71,20210302,FR,Montlhery,1,1,1,0.0,1.0,100.0
72,20210302,FR,Nice,1,2,1,105.0,2.0,0.0
73,20210302,FR,Orsay,1,1,1,0.0,1.0,100.0
74,20210302,FR,Paris,1,1,1,0.0,1.0,100.0
75,20210302,GB,Loughborough,1,2,1,3.0,2.0,0.0
76,20210302,HK,(not set),2,3,2,993.0,1.5,50.0
77,20210302,IL,Tel Aviv-Yafo,1,3,2,6.0,1.5,50.0
78,20210302,IN,Pune,1,2,2,0.0,1.0,100.0
79,20210302,IS,(not set),1,3,3,0.0,1.0,100.0
80,20210302,IT,Bologna,1,1,1,0.0,1.0,100.0
81,20210302,IT,Naples,1,2,2,0.0,1.0,100.0
82,20210302,JP,Kobe,1,1,1,0.0,1.0,100.0
83,20210302,JP,Toshima City,1,8,1,837.0,8.0,0.0
84,20210302,MX,Tantoyuca,1,8,1,1977.0,8.0,0.0
85,20210302,NO,Trondheim Municipality,1,1,1,0.0,1.0,100.0
86,20210302,SE,(not set),1,2,1,269.0,2.0,0.0
87,20210302,SE,Uppsala,1,1,1,0.0,1.0,100.0
88,20210302,US,Albuquerque,2,5,2,129.0,2.5,0.0
89,20210302,US,Ames,1,1,1,0.0,1.0,100.0
90,20210302,US,Arab,1,1,1,0.0,1.0,100.0
91,20210302,US,Atlanta,3,4,3,3.0,1.3333333333333333,66.66666666666666
92,20210302,US,Boardman,1,2,2,0.0,1.0,100.0
93,20210302,US,Boydton,1,2,1,5.0,2.0,0.0
94,20210302,US,Chandler,1,3,2,13.0,1.5,50.0
95,20210302,US,Coral Gables,1,2,2,0.0,1.0,100.0
96,20210302,US,Country Knolls,2,6,2,463.0,3.0,50.0
97,20210302,US,Dayton,1,1,1,0.0,1.0,100.0
98,20210302,US,Goddard,1,3,1,246.0,3.0,0.0
99,20210302,US,Livermore,2,8,5,7.0,1.6,60.0
100,20210302,US,Los Alamos,2,4,2,46.0,2.0,50.0
101,20210302,US,Manchester,1,2,1,4.0,2.0,0.0
102,20210302,US,Oakland,2,5,2,1329.0,2.5,0.0
103,20210302,US,Oviedo,1,3,1,144.0,3.0,0.0
104,20210302,US,Philadelphia,1,1,1,0.0,1.0,100.0
105,20210302,US,Providence,1,1,1,0.0,1.0,100.0
106,20210302,US,Rexford,1,2,1,9.0,2.0,0.0
107,20210302,US,Salt Lake City,1,1,1,0.0,1.0,100.0
