,ga:date,ga:source,ga:users,ga:pageViews,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20200101,(direct),4,5,12.0,1.25,75.0
1,20200101,computing.llnl.gov,1,8,1549.0,2.6666666666666665,0.0
2,20200101,google,10,18,1315.0,1.3846153846153846,69.23076923076923
3,20200101,spack.io,1,2,96.0,2.0,0.0
4,20200101,spack.readthedocs.io,3,13,107.0,4.333333333333333,0.0
5,20200102,(direct),4,8,537.0,1.6,60.0
6,20200102,computing.llnl.gov,2,2,0.0,1.0,100.0
7,20200102,google,9,21,1996.0,1.6153846153846154,61.53846153846154
8,20200102,hpc.llnl.gov,1,1,0.0,1.0,100.0
9,20200102,spack.io,4,13,3325.0,2.6,20.0
10,20200102,spack.readthedocs.io,8,31,1025.0,1.9375,37.5
11,20200103,(direct),8,17,835.0,2.125,37.5
12,20200103,computing.llnl.gov,1,1,0.0,1.0,100.0
13,20200103,github.com,2,7,1146.0,2.3333333333333335,66.66666666666666
14,20200103,google,14,31,2196.0,1.7222222222222223,61.111111111111114
15,20200103,spack.io,1,1,0.0,1.0,100.0
16,20200103,spack.readthedocs.io,8,44,3263.0,2.4444444444444446,27.77777777777778
17,20200104,(direct),1,4,47.0,2.0,50.0
18,20200104,github.com,1,4,1340.0,4.0,0.0
19,20200104,google,6,12,2037.0,2.0,66.66666666666666
20,20200104,spack.readthedocs.io,5,10,870.0,2.0,20.0
21,20200105,(direct),4,11,800.0,2.75,75.0
22,20200105,duckduckgo,1,1,0.0,1.0,100.0
23,20200105,github.com,1,2,22.0,2.0,0.0
24,20200105,google,7,17,4027.0,1.5454545454545454,72.72727272727273
25,20200105,spack.readthedocs.io,4,17,3193.0,3.4,20.0
26,20200106,(direct),16,20,1759.0,1.1764705882352942,94.11764705882352
27,20200106,github.com,1,1,0.0,1.0,100.0
28,20200106,google,20,41,4393.0,1.7826086956521738,78.26086956521739
29,20200106,r-ccs.riken.jp,1,1,0.0,1.0,100.0
30,20200106,spack.io,4,8,59.0,1.6,40.0
31,20200106,spack.readthedocs.io,8,15,166.0,1.875,37.5
32,20200106,xcp-confluence.lanl.gov,1,1,0.0,1.0,100.0
33,20200107,(direct),5,17,118.0,3.4,20.0
34,20200107,computing.llnl.gov,2,7,506.0,3.5,50.0
35,20200107,github.com,2,2,0.0,1.0,100.0
36,20200107,google,18,32,3182.0,1.6,80.0
37,20200107,helpspot.engr.uconn.edu,1,2,15.0,2.0,0.0
38,20200107,r-ccs.riken.jp,1,3,94.0,3.0,0.0
39,20200107,spack.io,2,9,1116.0,4.5,0.0
40,20200107,spack.readthedocs.io,7,27,1733.0,3.375,50.0
41,20200108,(direct),6,12,421.0,1.7142857142857142,57.14285714285714
42,20200108,bing,1,1,0.0,1.0,100.0
43,20200108,github.com,1,1,0.0,1.0,100.0
44,20200108,google,28,47,4629.0,1.4242424242424243,72.72727272727273
45,20200108,helpspot.engr.uconn.edu,1,2,6.0,2.0,0.0
46,20200108,mofem.eng.gla.ac.uk,1,2,0.0,1.0,100.0
47,20200108,spack.io,3,11,2381.0,2.75,50.0
48,20200108,spack.readthedocs.io,11,25,814.0,1.9230769230769231,46.15384615384615
49,20200109,(direct),3,6,59.0,2.0,33.33333333333333
50,20200109,bing,1,3,851.0,3.0,0.0
51,20200109,computing.llnl.gov,1,4,923.0,4.0,0.0
52,20200109,csc.uni-frankfurt.de,1,2,5.0,2.0,0.0
53,20200109,github.com,2,4,1400.0,2.0,50.0
54,20200109,google,15,55,3016.0,2.5,68.18181818181817
55,20200109,mail.hlrs.de,1,2,0.0,1.0,100.0
56,20200109,mofem.eng.gla.ac.uk,1,1,0.0,1.0,100.0
57,20200109,spack.io,2,7,1691.0,3.5,0.0
58,20200109,spack.readthedocs.io,14,51,3866.0,2.6842105263157894,31.57894736842105
59,20200110,(direct),5,38,3393.0,4.75,25.0
60,20200110,google,17,31,3926.0,1.55,70.0
61,20200110,r-ccs.riken.jp,1,2,5.0,2.0,0.0
62,20200110,spack.io,1,1,0.0,1.0,100.0
63,20200110,spack.readthedocs.io,9,45,3010.0,3.75,41.66666666666667
64,20200110,wiki.seas.harvard.edu,1,1,0.0,1.0,100.0
65,20200111,(direct),1,8,376.0,8.0,0.0
66,20200111,google,4,4,0.0,1.0,100.0
67,20200111,r-ccs.riken.jp,1,1,0.0,1.0,100.0
68,20200111,spack.readthedocs.io,1,2,87.0,2.0,0.0
69,20200112,(direct),3,4,560.0,1.3333333333333333,66.66666666666666
70,20200112,google,8,10,184.0,1.1111111111111112,88.88888888888889
71,20200112,spack.io,1,2,165.0,2.0,0.0
72,20200112,spack.readthedocs.io,3,28,1743.0,9.333333333333334,0.0
73,20200113,(direct),7,18,1588.0,2.25,62.5
74,20200113,bing,1,19,2831.0,6.333333333333333,0.0
75,20200113,computing.llnl.gov,1,5,317.0,2.5,0.0
76,20200113,google,22,38,759.0,1.3103448275862069,79.3103448275862
77,20200113,r-ccs.riken.jp,1,2,6.0,2.0,0.0
78,20200113,spack.io,2,3,7.0,1.5,50.0
79,20200113,spack.readthedocs.io,11,25,2751.0,2.0833333333333335,33.33333333333333
80,20200114,(direct),7,17,196.0,2.125,50.0
81,20200114,bing,2,5,36.0,1.6666666666666667,33.33333333333333
82,20200114,computing.llnl.gov,3,13,161.0,2.1666666666666665,16.666666666666664
83,20200114,csc.uni-frankfurt.de,1,1,0.0,1.0,100.0
84,20200114,dogedoge.com,1,1,0.0,1.0,100.0
85,20200114,github.com,1,2,446.0,2.0,0.0
86,20200114,google,17,39,3141.0,1.7727272727272727,63.63636363636363
87,20200114,spack.readthedocs.io,12,29,1878.0,1.9333333333333333,53.333333333333336
88,20200114,wiki.uvm.edu,1,1,0.0,1.0,100.0
89,20200115,(direct),8,16,311.0,2.0,25.0
90,20200115,bing,3,4,1.0,1.3333333333333333,66.66666666666666
91,20200115,github.com,1,2,1500.0,2.0,0.0
92,20200115,google,20,46,4686.0,2.0,60.86956521739131
93,20200115,hpc.llnl.gov,1,1,0.0,1.0,100.0
94,20200115,spack.io,3,4,300.0,1.3333333333333333,66.66666666666666
95,20200115,spack.readthedocs.io,9,26,1759.0,2.0,61.53846153846154
96,20200116,(direct),5,6,18.0,1.2,80.0
97,20200116,bing,1,1,0.0,1.0,100.0
98,20200116,github.com,2,2,0.0,1.0,100.0
99,20200116,google,16,42,1311.0,2.0,61.904761904761905
100,20200116,hpc.llnl.gov,1,5,26.0,5.0,0.0
