,ga:year,ga:month,ga:countryIsoCode,ga:users
0,2016,08,AE,1
1,2016,08,AR,2
2,2016,08,AU,13
3,2016,08,BE,10
4,2016,08,BG,3
5,2016,08,BR,7
6,2016,08,CA,5
7,2016,08,CH,9
8,2016,08,CL,1
9,2016,08,CN,8
10,2016,08,CO,1
11,2016,08,CZ,4
12,2016,08,DE,18
13,2016,08,DK,4
14,2016,08,ES,8
15,2016,08,FR,13
16,2016,08,GB,28
17,2016,08,ID,1
18,2016,08,IL,1
19,2016,08,IN,11
20,2016,08,IR,1
21,2016,08,IT,3
22,2016,08,KZ,1
23,2016,08,LK,1
24,2016,08,LT,1
25,2016,08,MK,1
26,2016,08,MX,1
27,2016,08,MY,2
28,2016,08,NG,1
29,2016,08,NL,12
30,2016,08,NO,3
31,2016,08,NZ,21
32,2016,08,PE,1
33,2016,08,PK,1
34,2016,08,PL,1
35,2016,08,PT,1
36,2016,08,RU,1
37,2016,08,SA,1
38,2016,08,SE,3
39,2016,08,SG,2
40,2016,08,SI,1
41,2016,08,TR,3
42,2016,08,TW,3
43,2016,08,UA,1
44,2016,08,US,85
45,2016,08,VN,1
46,2016,08,ZA,3
47,2016,08,ZZ,4
48,2016,09,AE,3
49,2016,09,AM,1
50,2016,09,AR,3
51,2016,09,AT,5
52,2016,09,AU,35
53,2016,09,BD,2
54,2016,09,BE,21
55,2016,09,BG,1
56,2016,09,BJ,1
57,2016,09,BR,17
58,2016,09,BY,1
59,2016,09,CA,32
60,2016,09,CH,31
61,2016,09,CL,3
62,2016,09,CN,14
63,2016,09,CR,1
64,2016,09,CY,2
65,2016,09,CZ,15
66,2016,09,DE,59
67,2016,09,DK,11
68,2016,09,EC,1
69,2016,09,EE,1
70,2016,09,EG,2
71,2016,09,ES,25
72,2016,09,ET,1
73,2016,09,FI,5
74,2016,09,FR,42
75,2016,09,GB,64
76,2016,09,GR,5
77,2016,09,HK,7
78,2016,09,HR,1
79,2016,09,HU,8
80,2016,09,ID,2
81,2016,09,IE,3
82,2016,09,IL,2
83,2016,09,IN,51
84,2016,09,IR,3
85,2016,09,IS,2
86,2016,09,IT,12
87,2016,09,JP,4
88,2016,09,KG,1
89,2016,09,KR,8
90,2016,09,LB,1
91,2016,09,LS,1
92,2016,09,LU,5
93,2016,09,MX,4
94,2016,09,MY,2
95,2016,09,NG,2
96,2016,09,NL,28
97,2016,09,NO,6
98,2016,09,NZ,10
99,2016,09,PH,5
100,2016,09,PK,3
101,2016,09,PL,6
102,2016,09,PT,3
103,2016,09,QA,1
104,2016,09,RO,6
105,2016,09,RU,12
106,2016,09,SA,2
107,2016,09,SE,17
108,2016,09,SG,5
109,2016,09,SI,3
110,2016,09,SK,2
111,2016,09,TH,3
112,2016,09,TR,1
113,2016,09,TW,2
114,2016,09,UA,1
115,2016,09,US,221
116,2016,09,VE,1
117,2016,09,VN,2
118,2016,09,ZA,4
119,2016,09,ZZ,2
120,2016,10,AE,5
121,2016,10,AL,1
122,2016,10,AR,4
123,2016,10,AT,16
124,2016,10,AU,29
125,2016,10,BD,2
126,2016,10,BE,23
127,2016,10,BG,1
128,2016,10,BH,1
129,2016,10,BR,9
130,2016,10,CA,26
131,2016,10,CH,35
132,2016,10,CL,6
133,2016,10,CN,10
134,2016,10,CO,1
135,2016,10,CR,2
136,2016,10,CY,3
137,2016,10,CZ,14
138,2016,10,DE,72
139,2016,10,DK,10
140,2016,10,DZ,2
141,2016,10,EC,1
142,2016,10,EG,1
143,2016,10,ES,25
144,2016,10,ET,1
145,2016,10,FI,7
146,2016,10,FR,48
147,2016,10,GB,77
148,2016,10,GE,1
149,2016,10,GR,3
150,2016,10,GT,1
151,2016,10,HK,4
152,2016,10,HR,1
153,2016,10,HU,4
154,2016,10,ID,3
155,2016,10,IE,4
156,2016,10,IL,1
157,2016,10,IN,26
158,2016,10,IR,2
159,2016,10,IT,22
160,2016,10,JP,13
161,2016,10,KE,1
162,2016,10,KR,10
163,2016,10,LU,7
164,2016,10,MA,1
165,2016,10,MX,4
166,2016,10,MY,3
167,2016,10,NI,1
168,2016,10,NL,23
169,2016,10,NO,12
170,2016,10,NZ,11
171,2016,10,PE,2
172,2016,10,PH,3
173,2016,10,PK,3
174,2016,10,PL,6
175,2016,10,PT,6
176,2016,10,QA,1
177,2016,10,RO,7
178,2016,10,RU,12
179,2016,10,SE,16
180,2016,10,SG,7
181,2016,10,SI,3
182,2016,10,SK,5
183,2016,10,TH,2
184,2016,10,TN,1
185,2016,10,TW,4
186,2016,10,UA,7
187,2016,10,US,260
188,2016,10,UY,1
189,2016,10,VE,1
190,2016,10,VN,7
191,2016,10,ZA,3
192,2016,10,ZZ,4
193,2016,11,AE,6
194,2016,11,AL,1
195,2016,11,AR,1
196,2016,11,AT,25
197,2016,11,AU,25
198,2016,11,AW,1
199,2016,11,AZ,1
200,2016,11,BD,2
201,2016,11,BE,39
202,2016,11,BG,1
203,2016,11,BR,11
204,2016,11,CA,33
205,2016,11,CH,32
206,2016,11,CL,3
207,2016,11,CN,9
208,2016,11,CR,1
209,2016,11,CU,6
210,2016,11,CZ,11
211,2016,11,DE,74
212,2016,11,DK,12
213,2016,11,DZ,3
214,2016,11,EC,2
215,2016,11,EE,2
216,2016,11,EG,5
217,2016,11,ES,47
218,2016,11,FI,8
219,2016,11,FR,36
220,2016,11,GB,69
221,2016,11,GR,4
222,2016,11,HK,4
223,2016,11,HN,1
224,2016,11,HR,2
225,2016,11,ID,1
226,2016,11,IE,3
227,2016,11,IL,6
228,2016,11,IN,35
229,2016,11,IQ,1
230,2016,11,IR,4
231,2016,11,IT,34
232,2016,11,JP,10
233,2016,11,KE,1
234,2016,11,KR,6
235,2016,11,KZ,1
236,2016,11,LB,1
237,2016,11,LK,2
238,2016,11,LU,8
239,2016,11,LV,2
240,2016,11,MX,2
241,2016,11,MY,2
242,2016,11,NG,2
243,2016,11,NL,23
244,2016,11,NO,4
245,2016,11,NZ,8
246,2016,11,PH,2
247,2016,11,PK,4
248,2016,11,PL,3
249,2016,11,PT,3
250,2016,11,PY,1
251,2016,11,QA,2
252,2016,11,RO,2
253,2016,11,RS,3
254,2016,11,RU,18
255,2016,11,SA,1
256,2016,11,SE,17
257,2016,11,SG,11
258,2016,11,SI,3
259,2016,11,SK,3
260,2016,11,SO,1
261,2016,11,TN,1
262,2016,11,TR,2
263,2016,11,TW,5
264,2016,11,UA,5
265,2016,11,UG,1
266,2016,11,US,261
267,2016,11,VE,2
268,2016,11,VN,3
269,2016,11,ZA,8
