,ga:year,ga:month,ga:countryIsoCode,ga:users
0,2017,06,AE,1
1,2017,06,AR,1
2,2017,06,AT,1
3,2017,06,AU,3
4,2017,06,BE,3
5,2017,06,BR,2
6,2017,06,CA,5
7,2017,06,CH,14
8,2017,06,CL,1
9,2017,06,CN,8
10,2017,06,CO,2
11,2017,06,CY,1
12,2017,06,CZ,4
13,2017,06,DE,35
14,2017,06,DK,4
15,2017,06,EG,2
16,2017,06,ES,10
17,2017,06,FR,15
18,2017,06,GB,50
19,2017,06,HK,2
20,2017,06,HU,1
21,2017,06,IE,2
22,2017,06,IN,14
23,2017,06,IR,1
24,2017,06,IT,14
25,2017,06,JP,10
26,2017,06,KR,2
27,2017,06,LT,1
28,2017,06,LU,3
29,2017,06,ME,1
30,2017,06,MX,2
31,2017,06,MY,1
32,2017,06,NL,7
33,2017,06,NO,2
34,2017,06,PE,1
35,2017,06,PL,1
36,2017,06,PT,5
37,2017,06,RE,1
38,2017,06,RO,1
39,2017,06,RU,4
40,2017,06,SA,1
41,2017,06,SG,1
42,2017,06,SI,2
43,2017,06,SK,2
44,2017,06,SR,1
45,2017,06,TH,1
46,2017,06,TR,1
47,2017,06,TW,1
48,2017,06,UA,1
49,2017,06,US,270
50,2017,06,UY,1
51,2017,06,VN,4
52,2017,06,ZA,2
53,2017,06,ZZ,4
54,2017,07,AR,3
55,2017,07,AT,5
56,2017,07,AU,4
57,2017,07,BD,1
58,2017,07,BE,4
59,2017,07,BG,2
60,2017,07,BO,1
61,2017,07,BR,13
62,2017,07,BY,1
63,2017,07,CA,15
64,2017,07,CD,3
65,2017,07,CH,18
66,2017,07,CL,3
67,2017,07,CN,12
68,2017,07,CO,5
69,2017,07,CY,1
70,2017,07,DE,49
71,2017,07,DK,3
72,2017,07,DO,1
73,2017,07,EC,1
74,2017,07,ES,16
75,2017,07,ET,1
76,2017,07,FR,45
77,2017,07,GB,71
78,2017,07,HK,6
79,2017,07,HU,2
80,2017,07,ID,3
81,2017,07,IE,6
82,2017,07,IL,3
83,2017,07,IN,29
84,2017,07,IT,22
85,2017,07,JP,25
86,2017,07,KE,1
87,2017,07,KH,1
88,2017,07,KR,6
89,2017,07,LT,1
90,2017,07,LU,2
91,2017,07,LV,1
92,2017,07,MX,4
93,2017,07,MY,1
94,2017,07,NL,5
95,2017,07,NO,2
96,2017,07,NZ,4
97,2017,07,PE,2
98,2017,07,PH,2
99,2017,07,PK,1
100,2017,07,PL,4
101,2017,07,PT,3
102,2017,07,RO,1
103,2017,07,RS,1
104,2017,07,RU,5
105,2017,07,SA,5
106,2017,07,SE,3
107,2017,07,SI,2
108,2017,07,SR,1
109,2017,07,TH,3
110,2017,07,TN,1
111,2017,07,TW,9
112,2017,07,TZ,3
113,2017,07,UA,6
114,2017,07,US,494
115,2017,07,VE,1
116,2017,07,VN,5
117,2017,07,ZA,3
118,2017,07,ZZ,6
119,2017,08,AE,1
120,2017,08,AR,1
121,2017,08,AT,3
122,2017,08,AU,12
123,2017,08,BD,1
124,2017,08,BE,2
125,2017,08,BG,1
126,2017,08,BO,1
127,2017,08,BR,6
128,2017,08,BT,1
129,2017,08,CA,10
130,2017,08,CD,1
131,2017,08,CH,34
132,2017,08,CL,3
133,2017,08,CN,14
134,2017,08,CO,3
135,2017,08,CZ,2
136,2017,08,DE,49
137,2017,08,DK,4
138,2017,08,DZ,1
139,2017,08,EG,10
140,2017,08,ES,17
141,2017,08,ET,1
142,2017,08,FI,1
143,2017,08,FR,34
144,2017,08,GB,46
145,2017,08,GE,1
146,2017,08,GR,1
147,2017,08,HK,5
148,2017,08,HU,1
149,2017,08,ID,2
150,2017,08,IE,7
151,2017,08,IL,4
152,2017,08,IN,40
153,2017,08,IR,1
154,2017,08,IT,16
155,2017,08,JP,15
156,2017,08,KE,1
157,2017,08,KH,1
158,2017,08,KR,8
159,2017,08,LB,1
160,2017,08,MA,1
161,2017,08,MK,1
162,2017,08,MQ,1
163,2017,08,MX,6
164,2017,08,MY,1
165,2017,08,NG,1
166,2017,08,NL,9
167,2017,08,NZ,1
168,2017,08,PH,2
169,2017,08,PK,1
170,2017,08,PL,5
171,2017,08,PT,2
172,2017,08,RO,3
173,2017,08,RU,12
174,2017,08,SA,3
175,2017,08,SE,2
176,2017,08,SG,3
177,2017,08,SK,1
178,2017,08,SN,1
179,2017,08,TH,4
180,2017,08,TR,3
181,2017,08,TW,8
182,2017,08,TZ,4
183,2017,08,UA,8
184,2017,08,US,473
185,2017,08,UY,1
186,2017,08,VE,3
187,2017,08,VN,3
188,2017,08,ZA,1
189,2017,08,ZZ,4
190,2017,09,AM,1
191,2017,09,AR,3
192,2017,09,AT,1
193,2017,09,AU,7
194,2017,09,BE,3
195,2017,09,BH,1
196,2017,09,BO,1
197,2017,09,BR,9
198,2017,09,CA,7
199,2017,09,CH,37
200,2017,09,CL,4
201,2017,09,CN,29
202,2017,09,CR,1
203,2017,09,CU,1
204,2017,09,CZ,13
205,2017,09,DE,65
206,2017,09,DK,1
207,2017,09,DO,2
208,2017,09,EC,1
209,2017,09,EE,1
210,2017,09,EG,3
211,2017,09,ES,16
212,2017,09,FI,2
213,2017,09,FR,36
214,2017,09,GB,73
215,2017,09,GR,3
216,2017,09,GT,1
217,2017,09,HK,2
218,2017,09,HR,1
219,2017,09,HU,2
220,2017,09,ID,2
221,2017,09,IE,8
222,2017,09,IL,1
223,2017,09,IN,27
224,2017,09,IQ,1
225,2017,09,IR,3
226,2017,09,IT,21
227,2017,09,JP,37
228,2017,09,KH,1
229,2017,09,KR,7
230,2017,09,LK,2
231,2017,09,LU,1
232,2017,09,MX,6
233,2017,09,MY,1
234,2017,09,NL,4
235,2017,09,NO,2
236,2017,09,NZ,2
237,2017,09,PE,1
238,2017,09,PH,2
239,2017,09,PK,1
240,2017,09,PL,8
241,2017,09,RO,2
242,2017,09,RU,15
243,2017,09,SA,4
244,2017,09,SE,5
245,2017,09,SG,2
246,2017,09,TN,1
247,2017,09,TR,1
248,2017,09,TW,4
249,2017,09,TZ,6
250,2017,09,UA,3
251,2017,09,US,490
252,2017,09,VN,7
253,2017,09,ZA,4
254,2017,09,ZZ,4
255,2017,10,AM,1
256,2017,10,AR,3
257,2017,10,AT,5
258,2017,10,AU,17
259,2017,10,BD,2
260,2017,10,BE,6
261,2017,10,BO,1
262,2017,10,BR,3
263,2017,10,BY,1
264,2017,10,CA,13
265,2017,10,CD,2
266,2017,10,CH,47
267,2017,10,CL,6
268,2017,10,CM,1
269,2017,10,CN,21
270,2017,10,CO,8
271,2017,10,CY,1
272,2017,10,CZ,8
273,2017,10,DE,95
274,2017,10,DK,3
275,2017,10,EC,1
276,2017,10,EG,2
277,2017,10,ES,14
278,2017,10,FR,49
279,2017,10,GB,64
280,2017,10,GE,1
281,2017,10,GP,1
282,2017,10,GR,2
283,2017,10,HK,6
284,2017,10,HR,1
285,2017,10,HU,1
286,2017,10,IE,6
287,2017,10,IL,3
288,2017,10,IN,17
289,2017,10,IR,4
290,2017,10,IT,25
291,2017,10,JP,44
292,2017,10,KR,3
293,2017,10,LA,1
294,2017,10,LB,1
295,2017,10,LK,1
296,2017,10,LS,1
297,2017,10,LU,1
298,2017,10,MX,10
299,2017,10,MY,1
300,2017,10,NG,3
301,2017,10,NI,1
302,2017,10,NL,8
303,2017,10,NO,3
304,2017,10,NZ,3
305,2017,10,PE,7
306,2017,10,PL,7
307,2017,10,PT,2
308,2017,10,RO,2
309,2017,10,RS,2
310,2017,10,RU,5
311,2017,10,SA,5
312,2017,10,SE,4
313,2017,10,SG,4
314,2017,10,TH,2
315,2017,10,TR,6
316,2017,10,TW,3
317,2017,10,TZ,4
318,2017,10,UA,4
319,2017,10,US,514
320,2017,10,VE,1
321,2017,10,VN,4
322,2017,10,ZA,2
323,2017,11,AR,3
324,2017,11,AT,9
325,2017,11,AU,18
326,2017,11,BD,1
327,2017,11,BE,3
328,2017,11,BO,2
329,2017,11,BR,15
330,2017,11,CA,17
331,2017,11,CH,37
332,2017,11,CL,6
333,2017,11,CN,13
334,2017,11,CO,1
335,2017,11,CY,2
336,2017,11,CZ,4
337,2017,11,DE,98
338,2017,11,DK,7
339,2017,11,DZ,2
340,2017,11,EC,1
341,2017,11,EG,2
342,2017,11,ES,6
343,2017,11,FI,8
344,2017,11,FR,51
345,2017,11,GB,82
346,2017,11,GR,1
347,2017,11,HK,4
348,2017,11,HR,1
349,2017,11,HU,2
350,2017,11,ID,2
351,2017,11,IE,8
352,2017,11,IL,6
353,2017,11,IN,26
354,2017,11,IR,4
